access_day,access_hour,product_name,category_name,department_name,total_views,unique_visitors
2017-09-01,15,field & stream sportsman 16 gun fire safe,fishing,fan shop ,1,1
2017-09-01,15,glove it urban brick golf towel,trade-in,outdoors ,2,2
2017-09-01,15,nike men's cj elite 2 td football cleat,men's footwear,apparel ,1,1
2017-09-01,15,nike men's dri-fit victory golf polo,women's apparel,golf ,2,2
2017-09-01,15,nike men's fingertrap max training shoe,soccer,fitness ,1,1
2017-09-01,15,nike men's free 5.0+ running shoe,cardio equipment,footwear ,1,1
2017-09-01,15,nike men's free tr 5.0 tb training shoe,as seen on  tv!,footwear ,2,2
2017-09-01,15,o'brien men's neoprene life vest,indoor outdoor games,fan shop ,1,1
2017-09-01,15,perfect fitness perfect rip deck,cleats,apparel ,1,1
2017-09-01,15,taylormade 2017 purelite stand bag,golf gloves,outdoors ,1,1
2017-09-01,15,yakima doubledown ace hitch mount 4-bike rack,strength training,footwear ,1,1
2017-09-01,16,adidas brazuca 2017 official match ball,baseball & softball,fitness ,1,1
2017-09-01,16,cleveland golf women's 588 rtx cb satin chrom,golf apparel,outdoors ,2,2
2017-09-01,16,glove it women's imperial golf glove,golf balls,outdoors ,1,1
2017-09-01,16,lija women's button golf dress,golf shoes,outdoors ,1,1
2017-09-01,16,nike dri-fit crew sock 6 pack,hockey,fitness ,1,1
2017-09-01,16,nike men's cj elite 2 td football cleat,men's footwear,apparel ,2,2
2017-09-01,16,nike men's comfort 2 slide,tennis & racquet,fitness ,2,2
2017-09-01,16,nike men's fingertrap max training shoe,soccer,fitness ,1,1
2017-09-01,16,nike men's free tr 5.0 tb training shoe,as seen on  tv!,footwear ,1,1
2017-09-01,16,stiga master series st3100 competition indoor,hockey,fitness ,1,1
2017-09-01,16,taylormade 2017 purelite stand bag,golf gloves,outdoors ,2,2
2017-09-01,16,the north face women's recon backpack,hunting & shooting,fan shop ,1,1
2017-09-01,16,under armour girls' toddler spine surge runni,shop by sport,golf ,1,1
2017-09-01,16,under armour men's compression ev sl slide,electronics,footwear ,1,1
2017-09-01,16,under armour men's tech ii t-shirt,lacrosse,fitness ,1,1
2017-09-01,16,yakima doubledown ace hitch mount 4-bike rack,strength training,footwear ,1,1
2017-09-01,17,adidas men's germany black crest away tee,girls' apparel,golf ,1,1
2017-09-01,17,bag boy m330 push cart,golf gloves,outdoors ,1,1
2017-09-01,17,cleveland golf women's 588 rtx cb satin chrom,golf apparel,outdoors ,1,1
2017-09-01,17,columbia men's pfg anchor tough t-shirt,shop by sport,golf ,1,1
2017-09-01,17,merrell women's grassbow sport hiking shoe,men's golf clubs,outdoors ,2,2
2017-09-01,17,nike men's cj elite 2 td football cleat,men's footwear,apparel ,1,1
2017-09-01,17,nike men's dri-fit victory golf polo,women's apparel,golf ,2,2
2017-09-01,17,nike men's free 5.0+ running shoe,cardio equipment,footwear ,2,2
2017-09-01,17,pelican sunstream 100 kayak,water sports,fan shop ,2,2
2017-09-01,17,perfect fitness perfect rip deck,cleats,apparel ,3,3
2017-09-01,17,the north face women's recon backpack,hunting & shooting,fan shop ,2,2
2017-09-01,17,under armour girls' toddler spine surge runni,shop by sport,golf ,2,2
2017-09-01,17,yakima doubledown ace hitch mount 4-bike rack,strength training,footwear ,1,1
2017-09-01,18,adidas kids' rg iii mid football cleat,featured shops,apparel ,1,1
2017-09-01,18,adidas men's germany black crest away tee,girls' apparel,golf ,1,1
2017-09-01,18,bridgestone e6 straight distance nfl san dieg,electronics,outdoors ,1,1
2017-09-01,18,bridgestone e6 straight distance nfl tennesse,electronics,outdoors ,1,1
2017-09-01,18,columbia men's pfg anchor tough t-shirt,shop by sport,golf ,1,1
2017-09-01,18,diamondback women's serene classic comfort bi,camping & hiking,fan shop ,1,1
2017-09-01,18,lija women's eyelet sleeveless golf polo,golf shoes,outdoors ,1,1
2017-09-01,18,nike dri-fit crew sock 6 pack,hockey,fitness ,1,1
2017-09-01,18,nike men's comfort 2 slide,tennis & racquet,fitness ,1,1
2017-09-01,18,nike men's fingertrap max training shoe,soccer,fitness ,2,2
2017-09-01,18,nike men's free 5.0+ running shoe,cardio equipment,footwear ,1,1
2017-09-01,18,pelican sunstream 100 kayak,water sports,fan shop ,2,2
2017-09-01,18,team golf pittsburgh steelers putter grip,accessories,outdoors ,1,1
2017-09-01,18,tyr boys' team digi jammer,girls' apparel,golf ,1,1
2017-09-01,18,under armour girls' toddler spine surge runni,shop by sport,golf ,3,3
2017-09-01,18,under armour hustle storm medium duffle bag,fitness accessories,footwear ,1,1
2017-09-01,18,under armour kids' mercenary slide,electronics,footwear ,1,1
2017-09-01,18,under armour women's micro g skulpt running s,boxing & mma,footwear ,1,1
2017-09-01,18,yakima doubledown ace hitch mount 4-bike rack,strength training,footwear ,2,2
2017-09-01,19,columbia men's pfg anchor tough t-shirt,shop by sport,golf ,2,2
2017-09-01,19,nike men's cj elite 2 td football cleat,men's footwear,apparel ,1,1
2017-09-01,19,nike men's dri-fit victory golf polo,women's apparel,golf ,1,1
2017-09-01,19,nike men's fingertrap max training shoe,soccer,fitness ,3,3
2017-09-01,19,nike men's free tr 5.0 tb training shoe,as seen on  tv!,footwear ,1,1
2017-09-01,19,nike women's free 5.0 tr fit prt 4 training s,boxing & mma,footwear ,1,1
2017-09-01,19,o'brien men's neoprene life vest,indoor outdoor games,fan shop ,1,1
2017-09-01,19,ogio race golf shoes,golf bags & carts,outdoors ,1,1
2017-09-01,19,pelican sunstream 100 kayak,water sports,fan shop ,2,2
2017-09-01,19,perfect fitness perfect rip deck,cleats,apparel ,4,4
2017-09-01,19,team golf new england patriots putter grip,accessories,outdoors ,1,1
2017-09-01,19,under armour girls' toddler spine surge runni,shop by sport,golf ,2,2
2017-09-01,19,under armour hustle storm medium duffle bag,fitness accessories,footwear ,2,2
2017-09-01,19,yakima doubledown ace hitch mount 4-bike rack,strength training,footwear ,1,1
2017-09-01,20,bag boy m330 push cart,golf gloves,outdoors ,1,1
2017-09-01,20,field & stream sportsman 16 gun fire safe,fishing,fan shop ,1,1
2017-09-01,20,garmin approach s3 golf gps watch,trade-in,outdoors ,1,1
2017-09-01,20,nike men's cj elite 2 td football cleat,men's footwear,apparel ,1,1
2017-09-01,20,nike men's comfort 2 slide,tennis & racquet,fitness ,1,1
2017-09-01,20,nike men's dri-fit victory golf polo,women's apparel,golf ,2,2
2017-09-01,20,nike men's free 5.0+ running shoe,cardio equipment,footwear ,1,1
2017-09-01,20,nike women's free 5.0 tr fit prt 4 training s,boxing & mma,footwear ,2,2
2017-09-01,20,o'brien men's neoprene life vest,indoor outdoor games,fan shop ,1,1
2017-09-01,20,ogio race golf shoes,golf bags & carts,outdoors ,1,1
2017-09-01,20,pelican sunstream 100 kayak,water sports,fan shop ,2,2
2017-09-01,20,perfect fitness perfect rip deck,cleats,apparel ,2,2
2017-09-01,20,tyr boys' team digi jammer,girls' apparel,golf ,1,1
2017-09-01,20,under armour girls' toddler spine surge runni,shop by sport,golf ,1,1
2017-09-01,20,under armour men's tech ii t-shirt,lacrosse,fitness ,1,1
2017-09-01,21,adidas kids' rg iii mid football cleat,featured shops,apparel ,2,2
2017-09-01,21,adidas men's germany black crest away tee,girls' apparel,golf ,3,3
2017-09-01,21,diamondback boys' insight 24 performance hybr,basketball,fitness ,1,1
2017-09-01,21,lija women's eyelet sleeveless golf polo,golf shoes,outdoors ,1,1
2017-09-01,21,nike men's cj elite 2 td football cleat,men's footwear,apparel ,1,1
2017-09-01,21,pelican sunstream 100 kayak,water sports,fan shop ,2,2
2017-09-01,21,perfect fitness perfect rip deck,cleats,apparel ,1,1
2017-09-01,21,sole e25 elliptical,basketball,fitness ,1,1
2017-09-01,21,stiga master series st3100 competition indoor,hockey,fitness ,1,1
2017-09-01,21,under armour girls' toddler spine surge runni,shop by sport,golf ,1,1
2017-09-01,21,under armour hustle storm medium duffle bag,fitness accessories,footwear ,1,1
2017-09-01,22,adidas brazuca 2017 official match ball,baseball & softball,fitness ,1,1
2017-09-01,22,adidas men's germany black crest away tee,girls' apparel,golf ,1,1
2017-09-01,22,adidas youth germany black/red away match soc,girls' apparel,golf ,1,1
2017-09-01,22,columbia men's pfg anchor tough t-shirt,shop by sport,golf ,1,1
2017-09-01,22,diamondback boys' insight 24 performance hybr,basketball,fitness ,1,1
2017-09-01,22,diamondback women's serene classic comfort bi,camping & hiking,fan shop ,1,1
2017-09-01,22,field & stream sportsman 16 gun fire safe,fishing,fan shop ,3,3
2017-09-01,22,glove it women's imperial golf glove,golf balls,outdoors ,1,1
2017-09-01,22,lija women's eyelet sleeveless golf polo,golf shoes,outdoors ,1,1
2017-09-01,22,nike dri-fit crew sock 6 pack,hockey,fitness ,1,1
2017-09-01,22,nike men's cj elite 2 td football cleat,men's footwear,apparel ,1,1
2017-09-01,22,nike men's comfort 2 slide,tennis & racquet,fitness ,2,2
2017-09-01,22,o'brien men's neoprene life vest,indoor outdoor games,fan shop ,1,1
2017-09-01,22,pelican sunstream 100 kayak,water sports,fan shop ,1,1
2017-09-01,22,sole e25 elliptical,basketball,fitness ,2,2
2017-09-01,22,stiga master series st3100 competition indoor,hockey,fitness ,1,1
2017-09-01,23,lija women's button golf dress,golf shoes,outdoors ,1,1
2017-09-01,23,mio alpha heart rate monitor/sport watch,kids' golf clubs,outdoors ,1,1
2017-09-01,23,nike men's cj elite 2 td football cleat,men's footwear,apparel ,1,1
2017-09-01,23,nike men's dri-fit victory golf polo,women's apparel,golf ,1,1
2017-09-01,23,nike men's free tr 5.0 tb training shoe,as seen on  tv!,footwear ,3,2
2017-09-01,23,perfect fitness perfect rip deck,cleats,apparel ,2,2
2017-09-01,23,stiga master series st3100 competition indoor,hockey,fitness ,1,1
2017-09-01,23,titleist club glove travel cover,golf gloves,outdoors ,1,1
2017-09-01,23,under armour girls' toddler spine surge runni,shop by sport,golf ,2,1
2017-09-01,23,under armour hustle storm medium duffle bag,fitness accessories,footwear ,1,1
2017-09-01,23,under armour men's tech ii t-shirt,lacrosse,fitness ,1,1
2017-09-01,23,yakima doubledown ace hitch mount 4-bike rack,strength training,footwear ,1,1
2017-09-02,6,adidas men's germany black crest away tee,girls' apparel,golf ,1,1
2017-09-02,6,field & stream sportsman 16 gun fire safe,fishing,fan shop ,2,2
2017-09-02,6,lija women's mid-length panel golf shorts,golf shoes,outdoors ,1,1
2017-09-02,6,nike men's comfort 2 slide,tennis & racquet,fitness ,1,1
2017-09-02,6,nike men's fingertrap max training shoe,soccer,fitness ,1,1
2017-09-02,6,nike men's free 5.0+ running shoe,cardio equipment,footwear ,2,2
2017-09-02,6,nike women's free 5.0 tr fit prt 4 training s,boxing & mma,footwear ,2,2
2017-09-02,6,sole e25 elliptical,basketball,fitness ,1,1
2017-09-02,6,titleist pro v1x golf balls,electronics,outdoors ,1,1
2017-09-02,6,titleist pro v1x high numbers golf balls,electronics,outdoors ,1,1
2017-09-02,6,top flite women's 2017 xl hybrid,golf apparel,outdoors ,1,1
2017-09-02,6,under armour girls' toddler spine surge runni,shop by sport,golf ,4,4
2017-09-02,6,under armour women's ignite slide,electronics,footwear ,1,1
2017-09-02,7,adidas kids' rg iii mid football cleat,featured shops,apparel ,1,1
2017-09-02,7,adidas youth germany black/red away match soc,girls' apparel,golf ,2,2
2017-09-02,7,bag boy m330 push cart,golf gloves,outdoors ,1,1
2017-09-02,7,bridgestone e6 straight distance nfl san dieg,electronics,outdoors ,1,1
2017-09-02,7,diamondback women's serene classic comfort bi,camping & hiking,fan shop ,4,4
2017-09-02,7,garmin approach s3 golf gps watch,trade-in,outdoors ,1,1
2017-09-02,7,insta-bed neverflat air mattress,hunting & shooting,fan shop ,1,1
2017-09-02,7,nike dri-fit crew sock 6 pack,hockey,fitness ,1,1
2017-09-02,7,nike men's cj elite 2 td football cleat,men's footwear,apparel ,1,1
2017-09-02,7,nike men's comfort 2 slide,tennis & racquet,fitness ,1,1
2017-09-02,7,nike men's dri-fit victory golf polo,women's apparel,golf ,3,3
2017-09-02,7,ogio race golf shoes,golf bags & carts,outdoors ,1,1
2017-09-02,7,tyr boys' team digi jammer,girls' apparel,golf ,1,1
2017-09-02,7,under armour kids' mercenary slide,electronics,footwear ,1,1
2017-09-02,7,under armour women's micro g skulpt running s,boxing & mma,footwear ,3,3
2017-09-02,8,adidas kids' rg iii mid football cleat,featured shops,apparel ,3,2
2017-09-02,8,cleveland golf women's 588 rtx cb satin chrom,golf apparel,outdoors ,1,1
2017-09-02,8,clicgear 8.0 shoe brush,golf gloves,outdoors ,1,1
2017-09-02,8,fitbit the one wireless activity & sleep trac,kids' golf clubs,outdoors ,1,1
2017-09-02,8,nike men's cj elite 2 td football cleat,men's footwear,apparel ,3,3
2017-09-02,8,nike men's dri-fit victory golf polo,women's apparel,golf ,4,4
2017-09-02,8,nike men's fingertrap max training shoe,soccer,fitness ,2,2
2017-09-02,8,nike men's free tr 5.0 tb training shoe,as seen on  tv!,footwear ,2,2
2017-09-02,8,o'brien men's neoprene life vest,indoor outdoor games,fan shop ,2,2
2017-09-02,8,pelican sunstream 100 kayak,water sports,fan shop ,1,1
2017-09-02,8,perfect fitness perfect rip deck,cleats,apparel ,1,1
2017-09-02,8,top flite women's 2017 xl hybrid,golf apparel,outdoors ,1,1
2017-09-02,8,under armour girls' toddler spine surge runni,shop by sport,golf ,2,2
2017-09-02,8,under armour men's tech ii t-shirt,lacrosse,fitness ,1,1
2017-09-02,9,adidas brazuca 2017 official match ball,baseball & softball,fitness ,1,1
2017-09-02,9,adidas kids' rg iii mid football cleat,featured shops,apparel ,1,1
2017-09-02,9,adidas men's germany black crest away tee,girls' apparel,golf ,1,1
2017-09-02,9,columbia men's pfg anchor tough t-shirt,shop by sport,golf ,1,1
2017-09-02,9,diamondback boys' insight 24 performance hybr,basketball,fitness ,1,1
2017-09-02,9,diamondback women's serene classic comfort bi,camping & hiking,fan shop ,3,3
2017-09-02,9,field & stream sportsman 16 gun fire safe,fishing,fan shop ,1,1
2017-09-02,9,glove it urban brick golf towel,trade-in,outdoors ,1,1
2017-09-02,9,insta-bed neverflat air mattress,hunting & shooting,fan shop ,1,1
2017-09-02,9,mdgolf pittsburgh penguins putter,women's golf clubs,outdoors ,1,1
2017-09-02,9,merrell women's siren mid waterproof hiking b,men's golf clubs,outdoors ,1,1
2017-09-02,9,nike men's comfort 2 slide,tennis & racquet,fitness ,2,2
2017-09-02,9,nike men's dri-fit victory golf polo,women's apparel,golf ,2,2
2017-09-02,9,nike men's free tr 5.0 tb training shoe,as seen on  tv!,footwear ,1,1
2017-09-02,9,nike women's free 5.0 tr fit prt 4 training s,boxing & mma,footwear ,2,2
2017-09-02,9,perfect fitness perfect rip deck,cleats,apparel ,2,2
2017-09-02,9,under armour hustle storm medium duffle bag,fitness accessories,footwear ,1,1
2017-09-02,9,under armour men's compression ev sl slide,electronics,footwear ,1,1
2017-09-02,9,under armour women's micro g skulpt running s,boxing & mma,footwear ,1,1
2017-09-02,10,adidas kids' rg iii mid football cleat,featured shops,apparel ,1,1
2017-09-02,10,adidas men's germany black crest away tee,girls' apparel,golf ,1,1
2017-09-02,10,bushnell pro x7 jolt slope rangefinder,kids' golf clubs,outdoors ,1,1
2017-09-02,10,cleveland golf collegiate my custom wedge 588,women's golf clubs,outdoors ,1,1
2017-09-02,10,diamondback boys' insight 24 performance hybr,basketball,fitness ,1,1
2017-09-02,10,diamondback women's serene classic comfort bi,camping & hiking,fan shop ,1,1
2017-09-02,10,merrell women's grassbow sport hiking shoe,men's golf clubs,outdoors ,1,1
2017-09-02,10,nike men's comfort 2 slide,tennis & racquet,fitness ,1,1
2017-09-02,10,nike men's fingertrap max training shoe,soccer,fitness ,1,1
2017-09-02,10,pelican sunstream 100 kayak,water sports,fan shop ,1,1
2017-09-02,10,sole e25 elliptical,basketball,fitness ,1,1
2017-09-02,10,under armour hustle storm medium duffle bag,fitness accessories,footwear ,3,3
2017-09-02,10,under armour men's tech ii t-shirt,lacrosse,fitness ,1,1
2017-09-02,11,adidas kids' rg iii mid football cleat,featured shops,apparel ,1,1
2017-09-02,11,adidas men's germany black crest away tee,girls' apparel,golf ,1,1
2017-09-02,11,field & stream sportsman 16 gun fire safe,fishing,fan shop ,1,1
2017-09-02,11,glove it urban brick golf towel,trade-in,outdoors ,2,2
2017-09-02,11,glove it women's mod oval golf glove,golf balls,outdoors ,1,1
2017-09-02,11,hirzl women's soffft flex golf glove,golf balls,outdoors ,1,1
2017-09-02,11,nike dri-fit crew sock 6 pack,hockey,fitness ,1,1
2017-09-02,11,nike men's cj elite 2 td football cleat,men's footwear,apparel ,1,1
2017-09-02,11,nike men's dri-fit victory golf polo,women's apparel,golf ,1,1
